timestamp,encoding,decodedData
1741699562458,base64+zstd,"6458475330338559024"
1741699562457,jsonParsed,"6458475330338559024"
1741699563023,base64,"6458475330338559024"
1741699563348,jsonParsed,"6458475330338559024"
1741699563309,base64+zstd,"6458475330338559024"
1741699563309,base64,"6458475330338559024"
1741699563647,base64,"6458475330338559024"
1741699563647,jsonParsed,"6458475330338559024"
1741699563646,base64+zstd,"6458475330338559024"
1741699563946,base64+zstd,"6458475330338559024"
1741699563939,jsonParsed,"6458475330338559024"
1741699563939,base64,"6458475330338559024"
1741699564237,base64+zstd,"6458475330338559024"
1741699564264,jsonParsed,"6458475330338559024"
1741699564225,base64,"6458475330338559024"
1741699564546,base64,"6457973678038127244"
1741699564547,base64+zstd,"6457973678038127244"
1741699564557,jsonParsed,"6457973678038127244"
1741699564837,jsonParsed,"6457973678038127244"
1741699564837,base64+zstd,"6457973678038127244"
1741699564833,base64,"6457973678038127244"
1741699565122,jsonParsed,"6457973678038127244"
1741699565116,base64+zstd,"6457973678038127244"
1741699565117,base64,"6457973678038127244"
1741699565404,base64,"6457973678038127244"
1741699565405,jsonParsed,"6457973678038127244"
1741699565399,base64+zstd,"6457973678038127244"
1741699565687,jsonParsed,"6457973678038127244"
1741699565687,base64,"6457973678038127244"
1741699565683,base64+zstd,"6457973678038127244"
1741699565963,base64+zstd,"6457973678038127244"
1741699565970,base64,"6457973678038127244"
1741699565970,jsonParsed,"6457973678038127244"
1741699566252,base64,"6457973678038127244"
1741699566256,jsonParsed,"6457973678038127244"
1741699566252,base64+zstd,"6457973678038127244"
1741699566535,base64,"6458565614586620424"
1741699566531,base64+zstd,"6458565614586620424"
1741699566545,jsonParsed,"6458565614586620424"
1741699566827,jsonParsed,"6458565614586620424"
1741699566841,base64,"6458565614586620424"
1741699566826,base64+zstd,"6458565614586620424"
1741699567121,base64+zstd,"6459091896930599613"
1741699567121,jsonParsed,"6459091896930599613"
1741699567121,base64,"6459091896930599613"
1741699567402,jsonParsed,"6459091896930599613"
1741699567413,base64+zstd,"6459091896930599613"
1741699567399,base64,"6459091896930599613"
1741699567705,base64,"6459091896930599613"
1741699567705,base64+zstd,"6459091896930599613"
1741699567705,jsonParsed,"6459091896930599613"
1741699567998,base64+zstd,"6459091896930599613"
1741699567988,base64,"6459091896930599613"
1741699567998,jsonParsed,"6459091896930599613"
1741699568273,base64+zstd,"6459091896930599613"
1741699568277,base64,"6459091896930599613"
1741699568285,jsonParsed,"6459091896930599613"
1741699568557,jsonParsed,"6459091896930599613"
1741699568559,base64+zstd,"6459091896930599613"
1741699568564,base64,"6459091896930599613"
1741699568846,jsonParsed,"6459091896930599613"
1741699568841,base64,"6459091896930599613"
1741699568841,base64+zstd,"6459091896930599613"
1741699569122,jsonParsed,"6459091896930599613"
1741699569138,base64,"6459091896930599613"
1741699569129,base64+zstd,"6459091896930599613"
1741699569415,base64+zstd,"6459091896930599613"
1741699569415,jsonParsed,"6459091896930599613"
1741699569431,base64,"6459091896930599613"
1741699569702,base64+zstd,"6459091896930599613"
1741699569709,jsonParsed,"6459091896930599613"
1741699569709,base64,"6459091896930599613"
1741699570002,base64,"6459091896930599613"
1741699569994,base64+zstd,"6459091896930599613"
1741699569993,jsonParsed,"6459091896930599613"
1741699570279,base64,"6459091896930599613"
1741699570275,jsonParsed,"6459091896930599613"
1741699570273,base64+zstd,"6459091896930599613"
1741699570553,base64,"6458506408384476160"
1741699570553,jsonParsed,"6458506408384476160"
1741699570553,base64+zstd,"6458506408384476160"
1741699570831,base64+zstd,"6458506408384476160"
1741699570836,base64,"6458506408384476160"
1741699570836,jsonParsed,"6458506408384476160"
1741699571111,base64,"6458506408384476160"
1741699571132,base64+zstd,"6458506408384476160"
1741699571111,jsonParsed,"6458506408384476160"
1741699571405,jsonParsed,"6458506408384476160"
1741699571402,base64+zstd,"6458506408384476160"
1741699571412,base64,"6458506408384476160"
1741699571683,jsonParsed,"6458506408384476160"
1741699571708,base64+zstd,"6458506408384476160"
1741699571683,base64,"6458506408384476160"
1741699571986,jsonParsed,"6458506408384476160"
1741699571990,base64+zstd,"6458506408384476160"
1741699571984,base64,"6458506408384476160"
1741699572271,jsonParsed,"6458506408384476160"
1741699572272,base64+zstd,"6458506408384476160"
1741699572271,base64,"6458506408384476160"
1741699572551,jsonParsed,"6458506408384476160"
1741699572550,base64+zstd,"6458506408384476160"
1741699572557,base64,"6458506408384476160"
1741699572844,jsonParsed,"6458506408384476160"
1741699572837,base64+zstd,"6458506408384476160"
1741699572837,base64,"6458506408384476160"
1741699573117,base64+zstd,"6458506408384476160"
1741699573122,jsonParsed,"6458506408384476160"
1741699573123,base64,"6458506408384476160"
1741699573400,jsonParsed,"6458506408384476160"
1741699573409,base64+zstd,"6458506408384476160"
1741699573399,base64,"6458506408384476160"
1741699573690,base64,"6458506408384476160"
1741699573686,base64+zstd,"6458506408384476160"
1741699573693,jsonParsed,"6458506408384476160"
1741699573995,jsonParsed,"6458506408384476160"
1741699573975,base64,"6458506408384476160"
1741699573963,base64+zstd,"6458506408384476160"
1741699574279,base64,"6458506408384476160"
1741699574265,base64+zstd,"6458506408384476160"
1741699574277,jsonParsed,"6458506408384476160"
1741699574563,base64,"6458114559634077451"
1741699574557,base64+zstd,"6458114559634077451"
1741699574557,jsonParsed,"6458114559634077451"
1741699574837,jsonParsed,"6458115177697322712"
1741699574835,base64+zstd,"6458115177697322712"
1741699574835,base64,"6458115177697322712"
1741699575117,base64+zstd,"6458115177697322712"
1741699575112,jsonParsed,"6458115177697322712"
1741699575112,base64,"6458115177697322712"
1741699575389,base64,"6458115177697322712"
1741699575390,base64+zstd,"6458115177697322712"
1741699575397,jsonParsed,"6458115177697322712"
1741699575670,base64+zstd,"6458115177697322712"
1741699575674,base64,"6458115177697322712"
1741699575670,jsonParsed,"6458115177697322712"
1741699575949,jsonParsed,"6458115177697322712"
1741699575942,base64+zstd,"6458115177697322712"
1741699575960,base64,"6458115177697322712"
1741699576237,base64,"6458115177697322712"
1741699576256,jsonParsed,"6458115177697322712"
1741699576237,base64+zstd,"6458115177697322712"
1741699576525,base64+zstd,"6458115177697322712"
1741699576541,jsonParsed,"6458115177697322712"
1741699576535,base64,"6458115177697322712"
1741699576825,jsonParsed,"6458115177697322712"
1741699576815,base64+zstd,"6458115177697322712"
1741699576815,base64,"6458115177697322712"
1741699577096,base64,"6457513934588693320"
1741699577097,jsonParsed,"6457513934588693320"
1741699577145,base64+zstd,"6457513934588693320"
1741699577420,jsonParsed,"6456819352631830528"
1741699577420,base64+zstd,"6456819352631830528"
1741699577421,base64,"6456819352631830528"
1741699577700,base64,"6456819352631830528"
1741699577705,base64+zstd,"6456819352631830528"
1741699577710,jsonParsed,"6456819352631830528"
1741699577979,base64+zstd,"6456265716661899780"
