timestamp,encoding,decodedData
1741699564492,base64,"6457973678038127244"
1741699564495,jsonParsed,"6457973678038127244"
1741699564497,base64+zstd,"6457973678038127244"
1741699566440,base64,"6458565614586620424"
1741699566441,jsonParsed,"6458565614586620424"
1741699566448,base64+zstd,"6458565614586620424"
1741699566913,jsonParsed,"6459091896930599613"
1741699566913,base64+zstd,"6459091896930599613"
1741699566914,base64,"6459091896930599613"
1741699570436,base64+zstd,"6458506408384476160"
1741699570446,base64,"6458506408384476160"
1741699570452,jsonParsed,"6458506408384476160"
1741699574284,base64,"6458114559634077451"
1741699574288,jsonParsed,"6458114559634077451"
1741699574288,base64+zstd,"6458114559634077451"
1741699574745,base64,"6458115177697322712"
1741699574746,jsonParsed,"6458115177697322712"
1741699574750,base64+zstd,"6458115177697322712"
1741699577025,base64,"6457513934588693320"
1741699577026,base64+zstd,"6457513934588693320"
1741699577027,jsonParsed,"6457513934588693320"
1741699577409,base64,"6456819352631830528"
1741699577410,base64+zstd,"6456819352631830528"
1741699577410,jsonParsed,"6456819352631830528"
1741699577769,base64,"6456265716661899780"
1741699577769,base64+zstd,"6456265716661899780"
1741699577770,jsonParsed,"6456265716661899780"
1741699578148,base64,"6456750748099524444"
1741699578148,jsonParsed,"6456750748099524444"
1741699578150,base64+zstd,"6456750748099524444"
1741699578505,base64,"6456780466328414274"
1741699578507,jsonParsed,"6456780466328414274"
1741699578507,base64+zstd,"6456780466328414274"
1741699578867,base64+zstd,"6456949678421490566"
1741699578869,jsonParsed,"6456949678421490566"
1741699578870,base64,"6456949678421490566"
1741699580400,base64+zstd,"6456999119974281981"
1741699580400,base64,"6456999119974281981"
1741699580402,jsonParsed,"6456999119974281981"
1741699581603,base64,"6458258950491051008"
1741699581604,jsonParsed,"6458258950491051008"
1741699581604,base64+zstd,"6458258950491051008"
1741699582003,base64,"6458929038222195478"
1741699582003,base64+zstd,"6458929038222195478"
1741699582008,jsonParsed,"6458929038222195478"
1741699582441,base64,"6459109231203248903"
1741699582442,base64+zstd,"6459109231203248903"
1741699582442,jsonParsed,"6459109231203248903"
1741699582857,base64,"6459129390972017462"
1741699582858,base64+zstd,"6459129390972017462"
1741699582864,jsonParsed,"6459129390972017462"
1741699584844,base64,"6459003510017846840"
1741699584845,jsonParsed,"6459003510017846840"
1741699584849,base64+zstd,"6459003510017846840"
1741699586913,base64+zstd,"6458564607602167660"
1741699586914,base64,"6458564607602167660"
1741699586914,jsonParsed,"6458564607602167660"
1741699587419,jsonParsed,"6459158472872536499"
1741699587419,base64+zstd,"6459158472872536499"
1741699587419,base64,"6459158472872536499"
1741699590044,base64,"6459015512949727012"
1741699590047,jsonParsed,"6459015512949727012"
1741699590047,base64+zstd,"6459015512949727012"
1741699590495,base64,"6458407561187064124"
1741699590495,jsonParsed,"6458407561187064124"
1741699590496,base64+zstd,"6458407561187064124"
1741699596381,base64,"6459091789271479432"
1741699596382,base64+zstd,"6459091789271479432"
1741699596382,jsonParsed,"6459091789271479432"
1741699596775,base64,"6459264237608789680"
1741699596778,jsonParsed,"6459264237608789680"
1741699596778,base64+zstd,"6459264237608789680"
1741699598681,base64,"6458730925607557524"
1741699598681,base64+zstd,"6458730925607557524"
1741699598689,jsonParsed,"6458730925607557524"
